Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score,Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Taxation
m EUR","Cash Out(In)flow Investing Activ.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Acquisition & Disposal
m EUR","Equity Dividends Paid
m EUR","Management of Liquid Resources
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Asset Cover (x),Year,D/N
ALVANT GROUP PLC,No,No,No,No,No,EC4M 7QS,4638732,24540,30/04/2021,"Active, in administration",,,,,,,,,ALVANT GROUP PLC,5,-17.8,1,-17.8,-17.37,-93.52,95.74,1,-95.01,-75.73,0.19,0.34,,62.19,6.49,56.26,20.06,18.67,18.55,,97.6,,,"-58,870",,-1,,,,0,,,,,-1,,2016,D
STRAND CAPITAL LIMITED,No,No,No,No,No,EC2R 6AY,3747386,66120,30/06/2016,"Active, in administration",,,,,,,,,MR NEAL THOMAS GRIFFITH,0,-128.36,0,-128.36,-91.58,,,,,,1.1,3.48,,,,,52.16,2.71,2.71,,71.35,,,"-32,670","25,453",0,0,,,,,,,0,0,,2016,D
COFTON (WALES) LIMITED,No,No,No,No,No,LS1 4JF,4113370,68100,31/03/2016,"Active, in administration",,,,,,,,,,30,,0,21.68,-9,,,-3,,,,,-1.06,0,169.69,2.15,,0.71,0.02,-3.27,-59.8,,,,,,,,,,,,,,,,2016,D
VASTU LIMITED,No,No,No,No,No,SL6 1RX,6302595,68209,31/07/2019,"Active, in administration",,,,,,,,,,1,,0,-0.2,-0.11,-3.41,20.61,1,-3.41,,0.06,0.03,,,0.93,394.55,123.23,0.08,0.08,-0.19,-12.7,,,,,,,,,,,,,,,1.53,2016,D
SERAIS INVESTMENTS LIMITED,No,No,No,No,No,LS1 4DL,1264703,70100,29/09/2018,"Active, in administration",,,,,,,,,"APOLLO GLOBAL MANAGEMENT, INC.",6,,0,,,,,,,,0.01,,,,,,,,,,99.83,,,,,,,,,,,,,,,,2016,D
CABOT PARK LIMITED,No,No,No,No,No,EC4M 7AN,7588526,68209,30/11/2016,"Active, in administration",,,,,,,,,MR JULIAN GLEEK,2,,0,,-52.71,,100,0,,,0.1,0,,0.05,,,,0.12,0.11,,0.69,0.7,257.75,,,,,,,,,,,,,,2016,D
EAST WEST INSURANCE COMPANY LIMITED,No,No,No,No,No,SE1 2AF,811120,65120,31/12/2018,"Active, in administration",,,,,,,,,MR BRAD SCOTT HUNTINGTON,4,10.09,0,9.79,9.69,,,,,,0,,,,0.2,,,96.27,96.27,32.25,95.99,,3.1,"9,526","94,405",,,,,,,,,,,,2016,D
TRADE MARK OWNERS ASSOC LIMITED,No,No,No,No,No,NW1 6BB,3734748,69109,31/12/2018,"Active, in administration",,,,,,,,,NUCLEUS LIMITED,4,,3,-11.42,-4.25,-5.56,55.52,1,-4.53,-4.46,2.05,308.12,-1.22,,2.9,126,247.92,1.59,1.59,-0.54,-43.51,,,"-8,771",,,,,,,,,,,,,2016,D
FOUR SEASONS HEALTH CARE GROUP LIMITED,No,No,No,No,No,BN1 2NW,3863850,70100,31/12/2018,"Active, in administration",,,,,,,,,MR GUY HANDS,16,,44,0.36,-1.13,-0.41,,,-8.54,1.62,,4.21,1,,,,86.17,0.08,0.08,,,,,-268,,,,,,,,,,,,,2016,D
OMNIAC HOLDINGS REALISATIONS LTD,No,No,No,No,No,B2 5AF,7290705,64209,25/11/2018,"Active, in administration",,,,,,,,,OMNIAC HOLDINGS REALISATIONS LTD,4,,10,-11.57,-3.46,-1.42,35.57,1,1.66,6.1,8.17,3.42,0.54,116.96,86.08,4.24,23.82,0.41,0.38,-0.51,-31.19,,,-949,,1,0,,,0,,,,0,0,1.64,2016,D
TURBINE EFFICIENCY GROUP LIMITED,No,No,No,No,No,LS1 4JF,7888125,33190,31/12/2018,"Active, in administration",,,,,,,,,SOHO SQUARE GP II LLP,8,,10,538.95,-60.76,-47.22,26.12,0,-42.3,-37.36,,7.03,-8.58,3.67,3.53,103.51,15.58,0.73,0.42,-4.89,-14.18,,,"-56,781",,-1,0,,,0,,,,1,0,34.47,2016,D
MTA PERSONAL INJURY SOLICITORS LLP,No,No,No,No,No,M26 1LS,OC354858,69102,30/06/2019,"Active, in administration",,,,,,,,,MTA PERSONAL INJURY SOLICITORS LLP,6,,11,,,,56.22,1,8.75,9.54,211.88,41.11,1,,3.15,115.88,125.94,0.96,0.96,,,,,,,1,0,,,0,,,,-2,0,103.16,2016,D
PRIME STAFF GROUP LTD,No,No,No,No,No,G2 7DA,SC509171,70100,30/04/2019,"Active, in administration",,,,,,,,,PRIME STAFF SOLUTIONS LTD,6,335.18,18,26.61,6.85,2.02,15.15,1,2.03,3.65,13.19,8.59,150.56,,6.27,58.19,1.17,0.81,0.81,0.09,2.04,2.09,,,,,,,,,,,,,,8.14,2016,D
MORISONS LLP,No,No,No,No,No,EH12 5HD,SO300995,69102,31/03/2018,"Active, in administration",,,,,,,,,,6,,8,,,,,,26.85,27.73,3.5,25.64,1,,1.45,251.56,11.49,1.51,1.51,,,,,,,1,0,,,0,,,,-2,-1,2.96,2016,D
JACK RICHARDS HOLDINGS LIMITED,No,No,No,No,No,NR21 8NL,5773789,49410,03/01/2021,Active,88,04/10/2021,Secure,0.9,"50,000,000",92,03/12/2019,Secure,MR PAUL EDWIN DAY,45,11.1,53,6.37,4.16,3.47,11.89,2,4.35,13.84,1.84,1.71,4.93,112.93,4.43,82.38,25.67,0.86,0.83,1.35,37.46,59.89,125.41,"3,758","33,856",6,0,,,-8,,-1,,3,0,4.16,2016,N
OCTAGONAL LIMITED,No,No,No,No,No,EC1A 4HD,6214926,80200,31/03/2021,Active,33,22/11/2021,Caution,11.2,"50,000,000",97,31/03/2020,Secure,OCTAGONAL LIMITED,7,14.69,5,14.69,13.48,18.82,69.32,1,18.75,19.18,0.78,1.44,792,,31.83,11.47,11.38,6.07,6.07,,91.74,,0.04,"76,976",,2,,,-2,,,,,2,2,,2016,N
WILDFIRE WORD OF MOUTH LIMITED,No,No,No,No,No,SE1  9HS,4571593,70229,31/12/2019,Active,89,04/05/2021,Secure,0.9,"14,954,000",81,31/12/2018,Secure,WPP PLC,2,82.25,4,82.25,30.01,15.85,77.67,1,15.85,16.18,5.19,204.41,,,13.21,27.63,17.32,1.56,1.56,,36.48,57.44,30.33,"33,209","40,373",,,,,,,,,,,,2016,N
LEWISHAM SCHOOLS FOR THE FUTURE HOLDINGS 2 LIMITED,No,No,No,No,No,SE1  2AQ,6831443,70100,31/03/2021,Active,77,10/09/2021,Stable,2.2,"25,241,000",30,31/03/2020,Caution,LEWISHAM SCHOOLS FOR THE FUTURE HOLDINGS 2 LIMITED,28,700,1,0.44,0.42,9.49,55.89,1,12.41,,0.05,0.05,1.06,,239.75,1.52,50.62,1.14,1.14,0,0.06,0.06,,,,-1,,,,2,,,,-1,0,1.17,2016,N
HIGHBOURNE GROUP LIMITED,No,No,No,No,No,NN6 7SL,6216887,46740,31/12/2020,Active,64,21/10/2021,Stable,2.2,"9,672,000",73,31/12/2019,Stable,TRAVIS PERKINS PLC,6,32.74,27,32.72,15.66,3.34,7.17,2,3.3,3.39,9.8,54.62,,,73.22,4.98,19.81,1.75,1.75,,47.82,91.64,38.9,"37,787","115,404",,,,,,,,,,,,2016,N
TANKERS (UK) AGENCIES LIMITED,No,No,No,No,No,SW3 4NX,3884421,50200,31/12/2020,Active,52,17/12/2021,Normal,4.2,"4,003,000",90,31/12/2019,Secure,EURONAV NV,4,37.08,8,37.08,17.3,7.88,,,7.84,8.49,4.71,35.42,,,,,2.31,1.76,1.76,,46.65,87.46,38.4,"35,433","95,566",1,0,0,,0,,,,0,1,,2016,N
HAYS PROPERTY SERVICES LIMITED,No,No,No,No,No,SR1 3HA,288713,68209,30/04/2021,Active,30,04/03/2022,Caution,11.2,"37,915,000",33,30/10/2019,Caution,HAYS TRAVEL LIMITED,11,7.55,1,7.55,7.28,57.42,21.91,,57.42,61.49,0.13,0.13,,,132.22,2.76,0.82,1.48,1.48,,96.47,,0.53,,,,,,,,,,,,,,2016,N
WIREX LIMITED,No,No,No,No,No,EC2V 6DN,9334596,64999,30/06/2020,Active,86,16/08/2021,Secure,0.9,"482,170",85,30/06/2019,Secure,,1,53.93,2,53.93,32.41,10.81,75.79,1,10.81,,4.99,102.06,,,,,,2.43,2.43,,60.09,,,"11,840","21,954",,,,,,,,,,,,2016,N
ROOTS GROUP UK LIMITED,No,No,No,No,No,WC2B 5DG,1895731,71111,31/12/2019,Active,0,17/12/2021,,14.5,,28,31/12/2019,Caution,ROOTS GROUP UK LIMITED,43,4.06,48,3.5,2.08,1.87,28.97,1,1.87,5.28,1.88,6.52,145.07,37.7,4.84,75.41,11.79,2.04,1.97,6.27,51.23,,16.48,"3,294","81,204",7,,,,-2,,,,0,4,,2016,N
KOOLE TANKSTORAGE UK LIMITED,No,No,No,No,No,L20 1ES,6689215,70100,31/12/2020,Active,66,17/12/2021,Stable,1.8,"7,462,000",42,31/12/2019,Normal,IIF INTL'L HOLDING L.P.,5,19.47,3,18.11,15.3,24.27,100,1,19.62,37.46,0.75,1.25,,270.7,6.67,54.74,15.64,3.2,3.18,13.34,78.59,,7.5,"54,769",,,,,,,,,,,,,2016,N
VELOCITY TRADE INTERNATIONAL LIMITED,No,No,No,No,No,EC4R 0EU,6813279,64999,31/03/2021,Active,89,06/01/2022,Secure,0.9,"316,087",85,31/03/2020,Secure,VELOCITY TRADE HOLDINGS LTD.,37,9.62,7,9.62,0.67,3.57,,,3.68,4.25,2.7,47.72,33.33,,120.89,3.02,29.79,1.07,1.07,,6.91,7.43,543.28,"18,879","196,283",6,,,,0,,,,,6,,2016,N
MELLER GROUP LIMITED,No,No,No,No,No,MK42 9TW,5712299,20420,31/12/2020,Active,89,16/03/2022,Secure,0.9,"1,059,000",97,31/12/2019,Secure,C S HOLDINGS LIMITED,18,15.35,42,15.32,11.55,4.86,23.51,1,5.02,5.29,3.15,188.32,28,53.73,4.03,90.66,20.56,4.01,3.83,456.01,75.2,,0.79,"20,505","133,555",-3,0,,,0,,,,0,-3,606.41,2016,N
V4 UK HOLDINGS LIMITED,No,No,No,No,No,NE8 2ET,10377444,70229,31/12/2020,Active,85,13/01/2022,Secure,0.9,"274,662",86,31/12/2019,Secure,MR ADAM JONATHAN JACOBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,N
PERMIRA ADVISERS (LONDON) LIMITED,No,No,No,No,No,SW1Y 5ES,2853841,64999,31/12/2020,Active,97,06/01/2022,Secure,0.9,"4,531,000",99,31/12/2019,Secure,PERMIRA HOLDINGS LIMITED,14,11.63,26,4.03,1.76,0.93,,,3.54,7.36,4.31,3.58,1.36,,15.55,23.47,4.1,0.84,0.84,0.53,15.17,17.88,196.6,"3,866","33,243",,,,,,,,,,,4.12,2016,N
PHARO ADVISORS UK LIMITED,No,No,No,No,No,SW7 1DR,5136918,64999,31/12/2020,Active,89,10/09/2021,Secure,0.9,"12,920,000",97,31/12/2019,Secure,PHARO GLOBAL ADVISORS LIMITED,11,15.42,12,15.42,6.11,5.91,,,5.89,6.48,2.61,4.59,,,,,,1.28,1.28,,39.62,65.61,,"26,219","170,040",0,0,,,0,,,,,0,,2016,N
POINT72 UK LIMITED,No,No,No,No,No,SW1Y 4JU,9644084,66300,31/12/2020,Active,88,17/12/2021,Secure,0.9,"6,427,000",97,31/12/2019,Secure,POINT72 LP,16,105.28,24,88.16,63.68,41.42,,,41.42,43.24,2.13,6.26,,,,,,2.72,2.72,5.15,60.49,,19.42,"498,556",,6,-8,,,-2,,,,7,3,,2016,N
CLEARSPRINGS (MANAGEMENT) LIMITED,No,No,No,No,No,SS6 7XJ,3851074,81210,31/01/2021,Active,88,18/11/2021,Secure,0.9,"1,124,000",99,31/01/2020,Secure,MR GRAHAM IAN KING,13,6.43,46,6.4,3.16,0.9,12.55,1,0.89,1.42,7.07,17.54,,,34.26,10.65,18.21,1.58,1.58,215.33,49.14,96.63,0.46,"1,205","18,757",0,0,,,1,,,,,1,,2016,N
CLEARSPRINGS READY HOMES LTD,No,No,No,No,No,SS6 7XJ,7921508,68209,31/01/2021,Active,73,23/12/2021,Stable,2.2,"844,608",92,31/01/2020,Secure,MR GRAHAM IAN KING,9,45.08,40,44.89,15.75,3.44,10.5,1,3.27,3.29,13.06,804.73,,963.82,63.15,5.78,17.97,1.53,1.52,237.37,34.93,53.68,0.42,"18,057","40,057",,,,,,,,,,,,2016,N
CINVEN LIMITED,No,No,No,No,No,SW1Y 4JZ,2192937,64999,31/12/2020,Active,90,11/10/2021,Secure,0.9,"2,661,000",95,31/12/2019,Secure,CINVEN HOLDINGS GUERNSEY LIMITED,19,0.12,3,0.12,0.06,0.38,,,-7.43,,0.32,0.32,,,93.21,3.92,11.19,1.01,1.01,,49.66,98.66,97.2,"1,945",,,,,,,,,,,,,2016,N
GEAR4MUSIC (HOLDINGS) PLC,No,No,No,No,No,YO26 4GN,7786708,47591,31/03/2021,Active,95,09/09/2021,Secure,0.9,"4,530,000",92,31/03/2020,Secure,GEAR4MUSIC (HOLDINGS) PLC,20,0.06,45,0.06,0.04,0.02,25.88,1,0.81,3.03,3.68,7.93,1.02,5.14,61.08,5.98,38.24,1.86,0.71,32.27,59.72,,12.01,55,"86,293",-1,0,0,-2,,,,,6,3,123.39,2016,N
ARCUS FM LIMITED,No,No,No,No,No,RM14 2RB,6475835,68320,31/03/2021,Active,92,08/11/2021,Secure,0.9,"1,515,000",93,31/03/2020,Secure,MANAGEMENT BUYOUT TEAM OF ARCUS FM LIMITED,11,36.87,39,36.54,16.98,4.66,30.77,1,4.77,5.53,7.85,59.94,42.79,,5.09,71.75,6.53,1.75,1.75,110.11,46.05,85.34,3.45,"3,470","9,412",,,,,,,,,,,,2016,N
"D. E. SHAW & CO. (U.K.), LTD.",No,No,No,No,No,W1U 8EW,5208622,66190,31/03/2021,Active,93,24/12/2021,Secure,0.9,"1,861,000",99,31/03/2020,Secure,DESCO LP,20,64.98,43,64.87,50.93,24.34,,,24.32,24.86,2.67,30.03,,,,,,4.33,4.33,631.59,78.38,,0.66,"346,116",,9,0,,,0,,,,-10,-1,,2016,N
RECYCLING LIVES HOLDINGS LIMITED,No,No,No,No,No,PR1 1QE,5664702,38320,28/02/2021,Active,55,24/11/2021,Normal,4.2,500,89,28/02/2020,Secure,THREE HILLS CAPITAL SOLUTIONS III,29,119.2,37,14.49,9.55,7.58,21.55,2,9.5,13.41,1.91,1.77,4.96,48.39,7.6,48.03,64.84,0.85,0.77,0.14,8.01,8.71,792.36,"13,815","11,590",3,-1,0,,-2,,,,0,1,1.84,2016,N
SQUARETRADE LIMITED,No,No,No,No,No,W1F 9BS,7165194,65120,31/12/2020,Active,92,06/10/2021,Secure,0.9,"871,607",88,31/12/2019,Secure,THE ALLSTATE CORP.,13,,11,-200.35,-82.97,-99.39,-23.44,0,-94.99,-94.87,2.02,,-21.62,9.64,3.79,96.32,23.7,1.71,1.56,-0.79,,,,"-639,617",,,,,,,,,,,,0.54,2016,N
SUMUP PAYMENTS LIMITED,No,No,No,No,No,W1F 7JB,7836562,63110,31/12/2020,Active,77,17/12/2021,Stable,2.2,"260,027",85,31/12/2019,Secure,SUMUP HOLDINGS,6,-1.8,5,-1.7,-0.62,-0.66,99.98,1,4.24,4.3,2.56,292.06,0.86,,,,2.19,1.57,1.57,16.07,34.42,52.47,149.24,"-6,030",,3,,,,,,,,0,3,46.7,2016,N
KORN FERRY (UK) LIMITED,No,No,No,No,No,SW1Y 6QB,763575,70229,30/04/2020,Active,92,26/04/2021,Secure,0.9,"658,474",30,30/04/2019,Caution,KORN FERRY,34,-21.94,24,-21.94,-8.32,-6.85,25.15,1,-16.5,-14.79,3.2,23.82,-93.47,,3.36,108.48,11.09,1.53,1.53,,37.9,61.02,62.88,"-11,395","51,932",,,,,,,,,,,,2016,N
STRATFORD CITY JV BUSINESS MANAGER LIMITED,No,No,No,No,No,W12 7SL,7537018,68320,31/12/2020,Active,28,21/10/2021,Caution,11.2,"215,238",29,31/12/2019,Caution,STRATFORD CITY JV BUSINESS MANAGER LIMITED,14,27.82,26,25.47,14.66,7.99,10.78,2,5.12,,3.19,6.21,,,217.24,1.68,12.04,1.66,1.66,10.86,52.71,,53.12,,,2,0,,,,,-2,,,0,,2016,N
LINDE MH UK LIMITED,No,No,No,No,No,RG21 6XJ,2791934,77390,31/12/2020,Active,85,11/08/2021,Secure,0.9,"2,544,000",88,31/12/2019,Secure,KION GROUP AG,17,8.59,26,6.21,4.2,2.73,17.5,1,5.35,10.49,2.27,5.24,3.15,25.9,12.97,28.15,6.12,2.19,2.01,2.61,48.95,95.9,70.94,"6,877","80,058",,,,,,,,,,,5.33,2016,N
INTERMED LIMITED,No,No,No,No,No,OX14 3NB,6249681,32500,31/03/2021,Active,81,08/11/2021,Secure,2.2,"431,252",77,31/03/2020,Stable,"GOLDMAN SACHS GROUP, INC",12,-56.09,18,-56.09,-28.44,-24.03,42.71,1,-23.46,-17.33,2.33,2.54,-28.89,7.06,9.53,38.3,52.58,1.08,0.74,,50.7,,0.1,"-23,809","42,446",-3,,,,-1,,,,5,2,,2016,N
EDWIN JAMES GROUP LIMITED,No,No,No,No,No,G71 5PH,SC507737,70100,28/02/2021,Active,89,22/11/2021,Secure,0.9,"1,254,000",97,28/02/2020,Secure,"ALITER CAPITAL I, LP",19,34.5,43,28.08,7.71,3.45,19.84,1,3.6,5.72,8.13,12.53,24.19,138.79,18.29,19.96,46.99,1.13,1.11,4.37,22.36,28.79,31.78,"4,407","12,774",1,0,,,0,,,,-3,-2,20.97,2016,N
SHARPS PIXLEY LIMITED,No,No,No,No,No,SW1A 1JT,6629106,64999,31/12/2020,Active,90,27/05/2021,Secure,1,"412,698",97,31/12/2019,Secure,FAMILIE VON FINCK,6,,37,60.55,-45,-7.68,2.31,0,-7.43,-5.94,,9.87,-29.83,44.47,259.22,1.41,4.47,0.23,0.16,,-74.32,,,"-708,943",,2,0,,,-1,,,,,0,,2016,N
EUROCOM INVESTMENTS LIMITED,No,No,No,No,No,W2 3HP,6579082,46720,30/04/2021,Active,89,10/03/2022,Secure,0.9,"1,857,000",64,30/04/2020,Stable,EUROCOM INVESTMENTS LIMITED,20,1.69,39,1.69,1.63,0.86,2.33,2,0.84,0.85,1.96,,63.02,286.86,173.53,2.1,0.76,29.69,29.49,,96.63,,,"82,947",,2,0,,,1,,,,,3,,2016,N
DOTCOM RETAIL LIMITED,No,No,No,No,No,M5 3EF,6397939,47750,31/03/2021,Active,99,14/02/2022,Secure,0.9,"2,867,000",97,31/03/2020,Secure,DOTCOM RETAIL LIMITED,16,103.78,60,99.81,30.02,8.23,20.77,2,8.26,8.82,12.13,64.69,174.77,8.67,49.8,7.33,49.39,1.35,0.75,25.11,28.93,40.71,6.29,"41,902","40,376",4,0,0,,0,,-1,,0,3,207.07,2016,N
INTERACTIVE INVESTOR LIMITED,No,No,No,No,No,M3 3NW,4752535,58142,31/12/2020,Active,92,17/08/2021,Secure,0.9,"9,423,000",89,31/12/2019,Secure,J.C. FLOWERS IV L.P.,12,-23.8,21,-23.8,-17.4,-9.86,81.39,1,-9.83,-6.61,2.41,4.64,,,14.95,24.42,15.24,2.3,2.3,,73.08,,,"-12,723","53,450",-2,,,,-2,,0,,3,-1,,2016,N
BLADES LEISURE LIMITED,No,No,No,No,No,S2 4SU,6963761,64209,31/07/2020,Active,77,08/10/2021,Stable,2.2,"2,837,000",46,30/06/2019,Normal,UNITED WORLD HOLDINGS LIMITED,11,,13,-156.59,-86.23,-71.13,-22.96,0,-87.74,-67,2.2,2.29,,22.55,9.04,40.36,14.17,1.05,0.93,-0.16,-10.77,,,"-43,646",,-11,0,,,1,,,,10,0,237.24,2016,N
AMUNDI (UK) LIMITED,No,No,No,No,No,EC2R 5BJ,1753527,66300,31/12/2020,Active,97,07/05/2021,Secure,0.9,"12,989,000",33,31/12/2019,Caution,SAS RUE LA BOETIE,12,32.29,5,32.29,21.84,52.86,,,49.77,,0.61,,,,14.25,25.62,,3.09,3.09,,67.62,,32.56,,,3,,,,,,-3,,0,1,,2016,N
DATA CARD INTERNATIONAL LIMITED,No,No,No,No,No,PO15 7FH,987011,70100,31/03/2020,Active,90,08/10/2021,Secure,0.9,"1,515,000",99,31/03/2019,Secure,ENTRUST DATACARD CORP,33,11.27,19,9.53,7.48,13.16,30.09,2,12.31,13.66,0.72,25.9,,22.14,5.13,71.18,6.51,4.56,4.44,5.46,66.39,,23.17,"22,561","200,176",0,0,0,,2,,,,,2,,2016,N
FIDELIS UNDERWRITING LIMITED,No,No,No,No,No,EC3V 4AB,9753615,65120,31/12/2020,Active,26,17/12/2021,Caution,11.2,500,89,31/12/2019,Secure,FIDELIS INSURANCE HOLDINGS LTD,0,-15.53,0,-8.48,-6.88,,,,,,0.05,0.06,,,0.17,,,1.94,1.94,1.2,44.29,79.51,88.89,,,,,,,,,,,,,,2016,N
LMR MANAGEMENT SERVICES LTD,No,No,No,No,No,W1J 8AJ,6967200,64205,30/11/2020,Active,89,23/08/2021,Secure,0.9,"2,329,000",86,30/11/2019,Secure,,3,-1.22,7,-0.71,-0.6,-0.27,100,1,0.3,1.51,2.58,6.33,0.53,,,,7.74,4.16,4.16,1.37,48.63,94.65,73.24,"-1,262","103,075",1,0,,,0,,,,0,1,2.81,2016,N
LMR PARTNERS LLP,No,No,No,No,No,W1J 8AJ,OC347294,66190,30/11/2020,Active,88,23/08/2021,Secure,0.9,"2,418,000",81,30/11/2019,Secure,,3,,23,,643.89,77.54,100,4,77.54,,22.4,84.96,,,,,,1.43,1.43,,37.07,58.92,169.17,"1,943,068","111,882",19,,,,,,,,-21,-2,,2016,N
MODA LIVING LIMITED,No,No,No,No,No,LS22 6LH,9109087,68100,31/08/2020,Active,92,17/06/2021,Secure,0.9,"552,477",92,31/08/2019,Secure,CADDICK GROUP LIMITED,11,164.74,32,164.74,123.13,41.24,41.66,81,41.14,,3.99,9.15,103.49,21.14,35.55,10.27,12.79,2.67,2.11,,74.74,,,"1,669,547",,11,0,-1,,-4,,-2,,,4,,2016,N
FREIXENET COPESTICK LIMITED,No,No,No,No,No,RG14 2PZ,5465686,70229,31/12/2020,Active,95,25/05/2021,Secure,0.9,"1,155,000",86,31/12/2019,Secure,GESCHWISTER OETKER BETEILIGUNGEN KG,17,23.02,43,22.96,2.54,0.99,8.63,1,1.42,1.69,23.14,125.19,11.9,17.03,3.77,96.77,85.84,1.1,0.93,394.73,11.04,12.42,184.62,"17,611","76,511",0,0,0,,0,,0,,1,1,,2016,N
BLOOMBERG TRADING FACILITY LIMITED,No,No,No,No,No,EC4N 4TQ,9019569,66110,31/12/2020,Active,86,17/12/2021,Secure,0.9,"3,250,000",93,31/12/2019,Secure,MR MICHAEL BLOOMBERG,18,-17.27,1,-17.27,-16.93,,100,0,,,0.04,,,,,,,50.69,50.69,,98.03,,1.29,,,0,,,,,,,,,0,,2016,N
VALUE RETAIL MANAGEMENT LIMITED,No,No,No,No,No,OX26 6WD,2884191,68320,31/12/2020,Active,99,21/07/2021,Secure,0.9,"2,607,000",31,31/12/2019,Caution,VALUE RETAIL PLC,5,12.38,18,12.38,6.17,1.86,1.96,,1.85,,6.64,157.01,,,,,0.24,1.95,1.95,,49.85,99.42,60.25,,,,,,,,,,,,,,2016,N
LINDSELL TRAIN LIMITED,No,No,No,No,No,SW1E 6AU,3941727,66300,31/01/2021,Active,99,01/10/2021,Secure,0.9,"11,824,000",99,31/01/2020,Secure,,30,114.61,42,114.48,89.69,62.84,100,3,62.76,62.91,1.82,207.96,,,17.35,21.04,1.3,4.59,4.59,934.77,78.26,,0.11,"1,561,869",,21,,,,0,,-12,,0,9,,2016,N
TRUE POTENTIAL INVESTMENTS LLP,No,No,No,No,No,NE15 8NX,OC356027,66190,31/12/2020,Active,89,01/04/2021,Secure,0.9,"13,173,000",89,31/12/2019,Secure,TRUE POTENTIAL GROUP OF COMPANIES,38,41.21,34,41.21,36.74,40.61,71.82,2,40.65,41.21,1.01,13.53,,,,,28.75,8.6,8.6,,89.15,,,"109,341",,,,,,,,,,,,,2016,N
EMERCHANTPAY LIMITED,No,No,No,No,No,NE30 1AR,5153270,64999,31/08/2021,Active,99,21/02/2022,Secure,0.9,"2,038,000",97,31/08/2020,Secure,PRESIDIO LIMITED,36,47.77,38,47.02,29.67,28.59,,,15.74,15.75,1.64,3.66,,,8.95,40.78,3.28,1.94,1.94,62.48,62.1,,2.68,"2,162,359",,4,0,,-3,,,,,,1,,2016,N
SOUL FOODS LIMITED,No,No,No,No,No,HA6 2EH,4404381,56101,27/06/2021,Active,99,14/03/2022,Secure,0.9,"2,296,000",89,27/06/2020,Secure,MR ALY HASSANALI MOLEDINA JANMOHAMED,23,59.11,40,22.46,13.52,7.84,33.25,1,8.42,13.48,2.86,3.28,13.86,135.7,114.42,3.19,22.01,1.19,1.16,0.61,22.87,29.65,221.73,"4,167","7,049",4,0,0,,-7,,-4,,8,2,2.79,2016,N
RBC GLOBAL ASSET MANAGEMENT (UK) LIMITED,No,No,No,No,No,W1K 3JR,3647343,64999,31/10/2020,Active,86,10/06/2021,Secure,0.9,"9,593,000",89,31/10/2019,Secure,ROYAL BANK OF CANADA HOLDINGS (U.K.) LIMITED,41,92.34,46,77.93,51.61,45.99,,,45.99,,1.69,,,,,,61.29,2.96,2.96,5.41,55.89,,25.35,"361,334",,21,,-2,,,,-11,,,7,,2016,N
SMITH & WILLIAMSON FUND ADMINISTRATION LIMITED,No,No,No,No,No,EC2R 6AY,1934644,66300,31/12/2020,Active,40,06/09/2021,Caution,4.2,"187,152",27,30/04/2020,Caution,VIOLIN DEBTCO GUERNSEY LIMITED,37,17.78,49,17.78,1.51,1.16,19.1,1,1.14,,15.38,,,,1.68,217.81,217.7,1.09,1.09,,8.48,9.26,4.59,,,1,,0,,,,0,,,1,,2016,N
LANDMARK LIMITED,No,No,No,No,No,RH10 9PE,4159077,68201,31/12/2020,Active,89,20/12/2021,Secure,0.9,"203,076",99,31/12/2019,Secure,O.C.S. GROUP LIMITED,19,67.85,28,52.48,20.3,13.71,31.82,2,13.71,18.82,3.83,3.92,,,10.77,33.91,7.47,1.02,1.02,3.42,29.92,42.7,29.27,"30,054","44,297",4,,,,-1,,,,-1,2,,2016,N
THE CRAFT UNION PUB COMPANY LIMITED,No,No,No,No,No,B90 4SJ,9429990,68100,27/09/2020,Active,38,18/10/2021,Caution,4.6,500,23,27/09/2019,Caution,TDR CAPITAL LLP,4,135.63,18,135.63,30.44,6.98,,,6.98,,19.43,,,33.16,,,21.99,1.29,1.12,,22.44,28.94,112.05,,,,,,,,,,,,,,2016,N
